page,item_name,score,review
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad 11e Chromebook Review,4.0,"The Lenovo ThinkPad 11e Chromebook is a Celeron-powered, Chrome-based laptop built to endure the rigors of the classroom."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad Yoga 15 Review,3.5,"Part desktop-replacement laptop, part convertible-hybrid tablet, the Lenovo ThinkPad Yoga 15 is a competent business system that doesn't quite fit in any single category."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo OneLink Pro Dock Review,4.0,"The OneLink Pro Dock works with several Lenovo-branded laptops, and provides USB, Ethernet, DisplayPort, and DVI connectivity."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad Helix 2nd Gen Review,3.5,"Lenovo's ThinkPad Helix 2nd Gen detachable-hybrid laptop is a big improvement over the original, but it still faces stiff competition."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo LaVie Z 360 Review,3.0,"The Lenovo LaVie Z 360 brings an almost impossibly light design to convertible-hybrid ultraportables, but it means compromises in performance."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad X250 Review,4.0,"The Lenovo ThinkPad X250 business ultraportable is ready to work hard, with ruggedized construction, a hot-swappable battery, and an Intel Core i5 processor."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad Yoga 12 Review,4.0,"The Lenovo ThinkPad Yoga 12 is a business-oriented, convertible-hybrid laptop that offers better performance than most ultraportable laptops, along with greater flexibility."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad T450s Review,4.5,"The Lenovo ThinkPad T450s is the latest, refined version of the quintessential business laptop, with a hot-swappable battery, a full set of connectivity options, and a chassis that can take a licking."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad E450 Review,4.0,The Lenovo ThinkPad E450 is a moderately priced business laptop with a professional-looking design and a work-friendly feature set.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo LaVie Z HZ550 Review,3.5,"The Lenovo LaVie Z is the lightest ultraportable laptop in the world, with a high-resolution display and better-than-average performance, but you still have to make some compromises to keep the weight down."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad W550s Review,4.0,"Prioritizing portability over processing power, the Lenovo ThinkPad W550s is a mobile workstation that delivers plenty of mobility, but falls behind the competition under more strenuous workloads."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo Yoga 3 14 Review,4.0,The Yoga 3 14 is a large-screen convertible-hybrid laptop with Lenovo's vaunted 360-degree hinge. It's a good system in a category with fierce competition.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad X1 Carbon Touch (2015) Review,4.0,The latest Lenovo ThinkPad X1 Carbon Touch is an incredibly thin and light business ultrabook that features a premium design with a 14-inch touch screen and all-day battery life.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad Yoga 14 Review,4.0,The 14-inch Lenovo ThinkPad Yoga 14 goes to work with a convertible-hybrid ultrabook that flips and folds.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo Edge 15 Review,4.0,"The Lenovo Edge 15 desktop-replacement laptop looks and acts like its Flex sibling, but slightly lower performance scores hold it back from our top recommendation."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo Y70 Touch Review,4.0,"The Lenovo Y70 Touch is an entry-level gaming laptop with a solid mix of performance and battery life and a rare, but welcome, 17-inch touch screen."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo ThinkPad Edge E545 Review,3.5,The Lenovo ThinkPad Edge E545 is a well-built desktop-replacement laptop that delivers solid entry-level performance for less than $500.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo IdeaPad S215 Review,3.0,The Lenovo IdeaPad S215 is an affordable 11-inch laptop that is travel-friendly and offers more than six hours of battery life. Just don't expect speedy performance or a touch screen.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo G40 Review,3.0,The Lenovo G40 is a reasonably priced entry-level desktop-replacement laptop with a battery that gives you almost six hours of unplugged power.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=7,Lenovo Yoga 3 Pro Review,4.0,"The Lenovo Yoga 3 Pro is a premium convertible-hybrid laptop that revamps the familiar Yoga line with a new hinge design, an efficient Intel Core M processor, and a super-slim new chassis."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=6,Lenovo Yoga Book (Android) Review,3.5,"The Lenovo Yoga Book tablet with Android includes a Wacom touchpad, making it a unique choice for creative types and note takers."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=8,Lenovo ThinkPad W540 Review,4.0,The Lenovo ThinkPad W540 is a 15-inch mobile workstation with a self-calibrating In-Plane Switching (IPS) display and class-leading performance.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=6,Lenovo Ideapad Y900-17 Review,3.5,"The Ideapad Y900-17 is a gaming laptop that plays demanding games at high settings, offers an array of features, and has an attractive display. Too bad it doesn't use more current graphics technology."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=6,Lenovo Thinkpad X1 Yoga (OLED) Review,4.0,"OLED technology and a higher screen resolution hike up the price of this version of Lenovo's Thinkpad X1 Yoga, but this business convertible performs well, boasts plenty of features, and now looks even better."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=6,Lenovo ThinkPad 13 Chromebook Review,3.0,"The Lenovo ThinkPad 13 Chromebook is a powerful Chrome-OS laptop with military-spec durability, but there are plenty of less expensive, high-performing alternatives."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=6,"Lenovo Ideapad Y700 Touch (15"") Review",4.0,"Lenovo's 15-inch Ideapad Y700 Touch might not be an obvious choice if you're in the market for a midrange gaming laptop, but with superb battery life and good performance and features for the price, it should be on your short list."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=6,Lenovo ThinkPad 13 Review,4.0,The Lenovo ThinkPad 13 is an inexpensive rugged laptop with all-day battery life; it's a fine choice whether you're buying it for a college student or a small business.
https://www.pcmag.com/categories/laptops/brands/lenovo?page=6,Lenovo ThinkPad X1 Yoga Review,4.0,"The ThinkPad X1 Yoga draws from the best aspects of our favorite Lenovo business laptops, offering a slim convertible design, long battery life, and enough ports and features to help you stay productive at the office or on the road."
https://www.pcmag.com/categories/laptops/brands/lenovo?page=6,Lenovo ThinkPad T460s Review,4.0,"The Lenovo ThinkPad T460s is slimmer and lighter than its predecessor, and is a prime example of what your mobile office workers need in a business laptop."
